data,inicio,fim,titulo,local,participantes
2021-03-15,14h30,15h00,Ministro Almirante de Esquadra Marcus Vinicius Oliveira dos Santos -  Presidente do Superior Tribunal Militar - STM,Palácio do Planalto,Paulo Bruno Lorena de Araújo -  Capitão de Mar e Guerra da Reserva Marinha do Brasil.
2021-03-15,15h00,15h30,Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-15,15h30,16h00,Marcelo Queiroga -  Presidente da Sociedade Brasileira de Cardiologia,Palácio do Planalto,
2021-03-15,16h00,18h00,Pastor Silas Malafaia -  Presidente do Conselho Interdenominacional de Ministros Evangélicos do Brasil - CIMEB,Palácio do Planalto,Apóstolo César Augusto -  Presidente da Igreja Apostólica Fonte da Vida;;Apóstolo Estevam Hernandes -  Presidente da Igreja Apostólica Renascer em Cristo;;Pastor Abe Huber -  Líder da Igreja da Paz;;Rene Terra Nova -  Apostolo do Ministério Internacional da Restauração;;Rinaldo Luiz de Seixas Pereira -  Fundador da Igreja Evangélica Bola de Neve Church;;Samuel Câmara -  Presidente da Convenção da Assembleia de Deus no Brasil;;Bispo Abner Ferreira;;Pastor Fábio Souza; e;Pastor Vitor Hugo.
2021-03-16,09h00,10h00,Ernesto Araújo -  Ministro de Estado das Relações Exteriores,Palácio do Planalto,Paulo Guedes -  Ministro de Estado da Economia;;Embaixador Pedro Miguel da Costa e Silva -  Secretário de Negociações Bilaterais e Regionais nas Américas do Ministério das Relações Exteriores;;Embaixador Sarquis José Buainain Sarquis -  Secretário de Comércio Exterior e Assuntos Econômicos do Ministério das Relações Exteriores;;Roberto Fendt -  Secretário Especial de Comércio Exterior e Assuntos Internacionais do Ministério da Economia; e;Erivaldo Gomes -  Secretário de Assuntos Internacionais do Ministério da Economia.
2021-03-16,10h00,11h30,VI Reunião Extraordinária de Presidentes do PROSUL (videoconferência),Palácio do Planalto,Ernesto Araújo -  Ministro de Estado das Relações Exteriores;;Paulo Guedes -  Ministro de Estado da Economia;;Embaixador Pedro Miguel da Costa e Silva -  Secretário de Negociações Bilaterais e Regionais nas Américas do Ministério das Relações Exteriores;;Embaixador Sarquis José Buainain Sarquis -  Secretário de Comércio Exterior e Assuntos Econômicos do Ministério das Relações Exteriores;;Roberto Fendt -  Secretário Especial de Comércio Exterior e Assuntos Internacionais do Ministério da Economia; e;Erivaldo Gomes -  Secretário de Assuntos Internacionais do Ministério da Economia.
2021-03-16,11h30,12h00,Gustavo Montezano -  Presidente do BNDES,Palácio do Planalto,
2021-03-16,14h00,14h40,Braga Netto -  Ministro-Chefe da Casa Civil da Presidência da República,Palácio do Planalto,
2021-03-16,14h40,15h10,Onyx Lorenzoni -  Ministro-Chefe da Secretaria-Geral da Presidência da República,Palácio do Planalto,
2021-03-16,15h10,15h20,Humberto Fernandes de Moura -  Subchefe Adjunto Executivo da Subchefia para Assuntos Jurídicos da Secretaria-Geral da Presidência da República,Palácio do Planalto,
