,0
Paulo Cesar Rezende de Carvalho Alvim,0.9166666666666666
Gryiecos Attom Valente Loureiro,0.9166666666666666
Silvio Nascimento,0.9166666666666666
David de Lima Freitas,0.9166666666666666
Antonio Jose Barreto,0.9166666666666667
Fabio Ivonei Lunkes,1.0
Eliana Lopes Feliano,1.0
Sikêra Junior,1.0
Fabricio Gaeede,1.0
Ednamar de Fatima Duarte,1.0
Doraides Alves Nunes Almeida Souza,1.0
Jose Jacinto Costa Carvalho,1.0
Pietro Fittipaldi,1.0
Roberto Jefferson,1.0
Bancada da Segurança Publica,1.0
Juíza Nalva Cristina Campello Santos,1.0
Irmã Neusa Lucia Luiz,1.0
Francisco Soares Ferrer,1.0
Gibraltar Vidal,1.0
Obadias Benones da Silva,1.0
Tereza de Jesus Campos Neta,1.0
Teresa Guimarães,1.0
Sebastião Santos,1.0
Albert Bourla,1.0
Renato Loures,1.0
Osvair Murilo da Cunha,1.0
Luiz Eduardo Rodrigues Saldanha,1.0
João Inacio Ribeiro Roma Neto,1.0
Luciney Bohrer,1.0
Katia Regina de Oliveira Rocha,1.0
Julio Flavio Dorneles de Mattos,1.0
Jose Luiz Spigolon,1.0
Jorge Rodrigues Delbons,1.0
Ivandro Correia Fonseca,1.0
Mirocles Campos Veras Neto,1.0
Ariovaldo Feliciano,1.0
Irani Ribeiro de Moura,1.0
Flaviano Feu Ventorim,1.0
Vitor Menezes,1.0
Carlos Renato de Melo Couto,1.0
Daniela Reinehr,1.0
Fernando Cesar Lorencini,1.0
William Joseph Burns,1.0
Felipe Nogueira Fernandes,1.0
Walter Silvano Gonçalves Oliveira,1.0
Avio Kalatzis de Britto,1.0
Airton Antonio Soligo,1.0
Carlos Agostinho Pires da Cruz,1.0
Adriana Machado Ferrari,1.0
Ailton Santos,1.0
Andre Ragnini,1.0
Nilsoni de Freitas,1.0
Ercilio Santinoni,1.1666666666666667
Marinha Raupp,1.1666666666666667
Cristiano Melles,1.1666666666666667
Wagner Gonçalves da Silveira,1.1666666666666667
Jose Augusto Santos,1.1666666666666667
Carlos Melles,1.1666666666666667
Claudio George Mendonça,1.1666666666666667
Esther Castilho,1.25
Francisco Jr,1.25
Francieli Fontana,1.25
Francisco Jr,1.25
João Henrique Nascimento de Freitas,1.25
Confucio Moura,1.25
Marcos Heleno Guerson de Oliveira Junior,1.3333333333333333
Leonidas de Araujo Medeiros Junior,1.3333333333333333
Rodolfo Nogueira,1.3333333333333335
Carlos Renato Machado Paim,1.4166666666666665
Marcos Degaut,1.4166666666666667
Valter Shuenquener,1.5
Elton Ronaldi,1.5
Beto Salame,1.5
Silvia Nascimento,1.5
Flavio Roscoe Nogueira,1.5
Frederico Ayres,1.5
Vivien Mello Suruagy,1.5
Andre Alves,1.5
General Santos Filho,1.5
Jefferson de Paula,1.5
João Eduardo Dapache,1.5833333333333333
Luiz Antonio Galvão,1.6666666666666665
Martha Seillier,1.6666666666666665
David Miranda Neto,1.6666666666666667
Felippe Valadão,1.6666666666666667
Fred Arraias,1.6666666666666667
Cesar Bianco,1.6666666666666667
Guilherme Rebustini,1.6666666666666667
Leandro Barreto,1.6666666666666667
Pastor Gilberto Araujo,1.6666666666666667
Luca Martini,1.6666666666666667
Michael Piragine,1.6666666666666667
Pastor Gustavo Paiva,1.6666666666666667
Doreni Caramori Junior,1.6666666666666667
Pastor Norberto Neto,1.6666666666666667
Pastor Filipe Falcão Palhares Estrada,1.6666666666666667
Samuel Cavalcanti,1.6666666666666667
Nelson Junior,1.6666666666666667
Paulo Sousa de França Junior,1.6666666666666667
Osmar Lootens,1.75
Igor Eto,1.75
Marcelo Crivella,1.75
Umaro Sissoco Embaló,1.75
Andre Pepitone da Nóbrega,1.8333333333333335
Andre Luís Boratto Braga,1.9166666666666665
Capitão Wagner,1.9166666666666667
Edson Rogatti,2.0
Francisco Pelucio,2.0
Caio Paes de Andrade,2.0
Embaixador Fernando Simas,2.0
Lucas Ferraz,2.0
Embaixador Michel Arslanian Neto,2.0
Videoconferência:,2.0
Presenciais:,2.0
Vander Francisco Costa,2.0
Evandro Roman,2.0
Raimundo Carreiro,2.0
Carlos Autran de Oliveira Amaral,2.0
Marcel Van Hattem,2.0
Edson Fachin,2.0
Luiz Carlos Hauly,2.0
Robinson Passos de CastroSilva,2.0
Luís Roberto Barroso,2.0
Jorge Oliveira,2.0
Leonardo Rolim,2.0
Maurício Galiotte,2.0
Marcelo Feijó de Medeiroso,2.0
Samir Namur,2.0
Convenção Nacional da Aliança pelo Brasil,2.0
Matheus Del Corso Rodrigues,2.0
Marcelo Cunha da Paz,2.0
Ronaldo Cezar Coelho,2.0
Rinaldo Luiz de Seixas Pereira,2.0
Marcelo Guaranys Secretario-Executivo do Ministerio da Economia,2.0
Olival Marques,2.0
Augusto Sherman Cavalcanti,2.0
Winston Ling,2.0
Celso Russomanno,2.0
Pastor Abe Huber,2.0
Benjamin Zymler,2.0
Jose Nelto,2.0
João Otavio Noronha,2.0
Aguinaldo Coelho de Farias,2.0
Élcio Franco,2.0
Marcos Bemquerer Costa,2.0
Pedro Roberio de Melo Nogueira,2.0
Maria Joseíta Silva Brilhante Ustra,2.0
Rene Terra Nova,2.0
Tercio Tokano,2.0
Antonio Augusto Amaral Filho,2.0
Andre Sica,2.0
Guilherme Cortizo Bellintani,2.0
Toninho Pinheiro,2.033333333333333
João Augusto Ribeiro Nardes,2.0833333333333335
Alessandra da Silva Martins,2.0833333333333335
Waldemar Barroso Magno Neto,2.0833333333333335
Almirante Esq Claudio Portugal de Viveiros,2.0833333333333335
Renata Geraldi Dias,2.0833333333333335
Heber Moura Trigueiro,2.0833333333333335
Pedro Horta,2.0833333333333335
Pedro Machado Mastrobuono,2.0833333333333335
Odecir Prata,2.0833333333333335
Mauricio Agrela,2.0833333333333335
Paulo Roberto,2.0833333333333335
Caio Fagundes Kitade,2.0833333333333335
Aldo Luiz Valentim,2.0833333333333335
Carlos da Costa,2.0833333333333335
Chris Tonietto,2.1666666666666665
Jorge Kajuru,2.166666666666667
Pedro Paulo,2.166666666666667
Vinicius Carvalho,2.166666666666667
George Teixeira Pinheiro,2.166666666666667
Tatiana Alvarenga,2.25
Washington Reis,2.25
Luiz Nishimori,2.25
Adilson Barroso,2.25
Alexandre Silveira,2.25
Antonio Rueda,2.25
Jackson Di Domenico,2.25
Vicente Jorge,2.333333333333333
Sargento Fahur,2.333333333333333
Alfredo Alexandre de Menezes Junior,2.333333333333333
David Augusto Fernandes de Sousa,2.3333333333333335
George Soares,2.3333333333333335
Professor Joziel,2.3333333333333335
Henrique Meirelles,2.3333333333333335
Gustinho Ribeiro,2.3333333333333335
Eduardo Eugênio Gouvêa Vieira,2.3333333333333335
Almirante de Esquadra Almir GARNIER Santos,2.3333333333333335
Jose Antonio Dias Toffoli,2.3333333333333335
Gil Diniz,2.3333333333333335
Amado Batista,2.3333333333333335
Paulo Abi-Ackel,2.4166666666666665
Mauro Benedito de Santana Filho,2.4166666666666665
Fabrício da Soller,2.4166666666666665
Pastor Fabio Souza,2.4166666666666665
Floriano Amorim,2.416666666666667
Erivaldo Gomes,2.5
Pedro Vilella,2.5
Marcelo Ribeiro,2.5
